Winner, Blue Score, Purple Score, Blue State, Purple State, Time to Goal, Time Left,,,Blue winrate,Purple winrate,Draw rate,Average Blue Time to Goal,Average Purple Time to Goal
Blue,2,11,Alive,Alive,12.16027,7.839726,,,25%,72%,3%,10.01,9.59434388
Blue,36,20,Alive,Dead,14.50027,5.499728,,,,,,,
Blue,4,0,Alive,Alive,11.02025,8.979748,,,,,,,
Blue,6,0,Alive,Alive,10.36024,9.639763,,,,,,,
Purple,0,40,Dead,Alive,7.600173,12.39983,,,,,,,
Purple,0,32,Dead,Alive,10.04023,9.95977,,,,,,,
Purple,0,30,Dead,Alive,6.800155,13.19984,,,,,,,
Purple,0,40,Dead,Alive,9.120209,10.87979,,,,,,,
Purple,10,40,Dead,Alive,6.240142,13.75986,,,,,,,
Purple,0,40,Dead,Alive,7.720176,12.27982,,,,,,,
Purple,10,30,Dead,Alive,10.26023,9.739765,,,,,,,
Purple,0,40,Dead,Alive,7.080162,12.91984,,,,,,,
Purple,5,30,Dead,Alive,7.220165,12.77983,,,,,,,
Blue,0,0,Alive,Alive,8.28019,11.71981,,,,,,,
Purple,0,30,Dead,Alive,7.980182,12.01982,,,,,,,
Draw,25,25,Dead,Dead,,15.7199,,,,,,,
Purple,0,30,Dead,Alive,8.180187,11.81981,,,,,,,
Purple,0,30,Dead,Alive,11.52026,8.479736,,,,,,,
Purple,0,30,Dead,Alive,9.060207,10.93979,,,,,,,
Purple,5,50,Dead,Alive,6.620151,13.37985,,,,,,,
Purple,5,40,Dead,Alive,9.520218,10.47978,,,,,,,
Purple,0,40,Dead,Alive,6.480148,13.51985,,,,,,,
Purple,0,32,Dead,Alive,10.78025,9.219753,,,,,,,
Purple,5,32,Dead,Alive,7.780178,12.21982,,,,,,,
Blue,50,0,Alive,Dead,8.940205,11.0598,,,,,,,
Purple,10,30,Dead,Alive,10.56024,9.439758,,,,,,,
Blue,40,0,Alive,Dead,7.980182,12.01982,,,,,,,
Purple,0,40,Dead,Alive,7.320167,12.67983,,,,,,,
Blue,50,10,Alive,Dead,7.660175,12.33982,,,,,,,
Purple,0,30,Dead,Alive,12.60027,7.399726,,,,,,,
Purple,0,50,Dead,Alive,6.000137,13.99986,,,,,,,
Purple,0,50,Dead,Alive,6.58015,13.41985,,,,,,,
Purple,0,30,Dead,Alive,8.160187,11.83981,,,,,,,
Purple,0,30,Dead,Alive,9.560219,10.43978,,,,,,,
Blue,50,10,Alive,Dead,8.860203,11.1398,,,,,,,
Purple,0,30,Dead,Alive,12.74027,7.259727,,,,,,,
Blue,50,0,Alive,Dead,6.720153,13.27985,,,,,,,
Purple,5,30,Dead,Alive,8.520195,11.4798,,,,,,,
Purple,5,30,Dead,Alive,7.280166,12.71983,,,,,,,
Purple,1,40,Dead,Alive,9.62022,10.37978,,,,,,,
Purple,0,32,Dead,Alive,10.00023,9.999771,,,,,,,
Purple,5,40,Dead,Alive,9.680222,10.31978,,,,,,,
Purple,10,50,Dead,Alive,7.700176,12.29982,,,,,,,
Purple,0,50,Dead,Alive,7.160163,12.83984,,,,,,,
Purple,0,50,Dead,Alive,7.840179,12.15982,,,,,,,
Purple,10,50,Dead,Alive,10.76025,9.239754,,,,,,,
Blue,50,10,Alive,Dead,10.10023,9.899769,,,,,,,
Purple,0,50,Dead,Alive,6.900157,13.09984,,,,,,,
Purple,0,50,Dead,Alive,8.660198,11.3398,,,,,,,
Blue,42,10,Alive,Dead,8.220188,11.77981,,,,,,,
Purple,10,30,Dead,Alive,8.540195,11.4598,,,,,,,
Purple,11,40,Dead,Alive,10.44024,9.559761,,,,,,,
Blue,50,10,Alive,Dead,9.460217,10.53978,,,,,,,
Purple,0,50,Dead,Alive,8.800201,11.1998,,,,,,,
Purple,1,70,Dead,Alive,10.62024,9.379757,,,,,,,
Purple,1,50,Dead,Alive,9.18021,10.81979,,,,,,,
Purple,0,50,Dead,Alive,7.160163,12.83984,,,,,,,
Purple,0,30,Dead,Alive,8.840202,11.1598,,,,,,,
Blue,20,0,Alive,Alive,10.70024,9.299755,,,,,,,
Purple,0,30,Dead,Alive,8.540195,11.4598,,,,,,,
Purple,0,40,Dead,Alive,9.060207,10.93979,,,,,,,
Blue,50,0,Alive,Dead,14.02027,5.979728,,,,,,,
Blue,50,10,Alive,Dead,6.820156,13.17984,,,,,,,
Purple,0,30,Dead,Alive,9.740223,10.25978,,,,,,,
Blue,0,0,Alive,Alive,8.660198,11.3398,,,,,,,
Purple,1,70,Dead,Alive,13.38027,6.619727,,,,,,,
Purple,11,50,Dead,Alive,9.700222,10.29978,,,,,,,
Blue,42,5,Alive,Dead,10.04023,9.95977,,,,,,,
Draw,20,20,Dead,Dead,,13.45985,,,,,,,
Purple,11,40,Dead,Alive,10.42024,9.579762,,,,,,,
Blue,0,0,Alive,Alive,10.92025,9.07975,,,,,,,
Purple,10,50,Dead,Alive,9.16021,10.83979,,,,,,,
Blue,20,0,Alive,Alive,10.54024,9.459759,,,,,,,
Blue,40,10,Alive,Dead,8.560196,11.4398,,,,,,,
Purple,0,40,Dead,Alive,10.52024,9.479759,,,,,,,
Purple,10,30,Dead,Alive,7.88018,12.11982,,,,,,,
Purple,5,40,Dead,Alive,9.060207,10.93979,,,,,,,
Purple,0,50,Dead,Alive,7.060161,12.93984,,,,,,,
Purple,6,40,Dead,Alive,16.04027,3.95973,,,,,,,
Purple,0,30,Dead,Alive,10.30024,9.699764,,,,,,,
Purple,10,40,Dead,Alive,8.000183,11.99982,,,,,,,
Purple,0,50,Dead,Alive,14.16027,5.839728,,,,,,,
Purple,1,60,Dead,Alive,12.36027,7.639726,,,,,,,
Purple,1,50,Dead,Alive,9.140209,10.85979,,,,,,,
Purple,10,30,Dead,Alive,13.22027,6.779727,,,,,,,
Purple,0,40,Dead,Alive,13.38027,6.619727,,,,,,,
Purple,10,50,Dead,Alive,7.600173,12.39983,,,,,,,
Blue,0,0,Alive,Alive,10.72025,9.279755,,,,,,,
Blue,20,0,Alive,Alive,10.44024,9.559761,,,,,,,
Blue,40,5,Alive,Dead,9.320213,10.67979,,,,,,,
Blue,50,0,Alive,Dead,15.20027,4.799729,,,,,,,
Purple,6,40,Dead,Alive,10.68024,9.319756,,,,,,,
Blue,50,0,Alive,Dead,10.18023,9.819767,,,,,,,
Purple,1,40,Dead,Alive,11.08025,8.919746,,,,,,,
Purple,5,40,Dead,Alive,6.960159,13.03984,,,,,,,
Purple,0,50,Dead,Alive,11.68027,8.319733,,,,,,,
Purple,10,30,Dead,Alive,8.940205,11.0598,,,,,,,
Purple,10,30,Dead,Alive,10.22023,9.779766,,,,,,,
Purple,6,40,Dead,Alive,19.24027,0.7597327,,,,,,,
Draw,15,5,Alive,Dead,,0.01973285,,,,,,,
Purple,0,40,Dead,Alive,10.04023,9.95977,,,,,,,
Purple,6,60,Dead,Alive,9.480217,10.51978,,,,,,,
Purple,0,40,Dead,Alive,17.08027,2.919731,,,,,,,
Purple,10,32,Dead,Alive,14.22027,5.779728,,,,,,,
